file,alloy,aging_hours,idx,status,scale_source,px_size_um,mean_thickness_um,median_thickness_um,std_thickness_um,min_thickness_um,max_thickness_um,mean_thickness_px,mode,solder_detected,confidence,pct_valid_columns,needs_review
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\0_500_17.jpg,0,500,17,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\0_500_17.txt,0.018867924528301886,9.735908018867923,11.075471698113207,3.553931716219498,1.6792452830188678,13.188679245283017,516.003125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\0_500_27.jpg,0,500,27,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\0_500_27.txt,0.018867924528301886,10.978287146226414,12.169811320754716,3.0801554461650023,2.509433962264151,13.622641509433961,581.84921875,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_0_17.jpg,100,0,17,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_0_17.txt,0.018867924528301886,11.775103183962264,12.471698113207546,1.6699661071559448,5.471698113207547,13.716981132075471,624.08046875,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_0_20.jpg,100,0,20,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_0_20.txt,0.018867924528301886,6.094840801886792,5.518867924528302,4.391635624595297,0.6037735849056604,13.60377358490566,323.0265625,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_0_8.jpg,100,0,8,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_0_8.txt,0.018867924528301886,3.9634139150943395,4.150943396226415,1.577147281395406,1.3773584905660377,6.830188679245283,210.0609375,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_1000_13.jpg,100,1000,13,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240827_SEM\100_1000_13.txt,0.03018867924528302,4.235849056603773,3.9547169811320755,1.574348260617776,0.7245283018867925,7.788679245283019,140.3125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_1000_2.jpg,100,1000,2,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240725_SEM image\100_1000_2.txt,0.03018867924528302,3.6641855634412326,3.7433962264150944,1.0208310499621023,0.1509433962264151,5.071698113207547,121.37614678899082,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),0.95375,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_1000_8.jpg,100,1000,8,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240827_SEM\100_1000_8.txt,0.03018867924528302,0.8584905660377359,0.6188679245283019,0.5869688505110592,0.27169811320754716,2.8377358490566036,28.4375,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_200_4.jpg,100,200,4,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_200_4.txt,0.018867924528301886,11.181264740566037,12.264150943396226,2.1664456398276095,6.283018867924528,13.30188679245283,592.60703125,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_200_5.jpg,100,200,5,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_200_5.txt,0.018867924528301886,7.465128835828058,8.943396226415095,4.044920167767383,0.03773584905660377,11.754716981132075,395.6518282988871,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),0.9828125,False
E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\IMC 측정\main\100_200_8.jpg,100,200,8,ok,E:\00_정명진\03_연구실 컴퓨터\03_SBSAC_Reliability\240806_SEM\100_200_8.txt,0.018867924528301886,9.924262971698113,9.547169811320755,2.1432237020941747,6.113207547169811,13.11320754716981,525.9859375,texture-seam Cu boundary + grayscale phase grouping (area method),True,medium-high (자동 검출 — 오버레이 육안 확인 권장),1.0,False
