file,mean_thickness_um,pct_valid
0_0_20.jpg,1.2345076650943396,1.0
0_1000_9.jpg,5.605114976415094,1.0
0_200_19.jpg,2.191288325471698,1.0
0_500_3.jpg,3.2305424528301887,1.0
100_0_5.jpg,8.136674528301887,1.0
100_1000_11.jpg,4.579132075471699,1.0
100_200_9.jpg,3.7152270047169806,1.0
100_500_28.jpg,6.170975825471698,1.0
50_0_21.jpg,2.3629569575471696,1.0
50_1000_10.jpg,5.33119103773585,1.0
50_200_5.jpg,3.5371904481132073,1.0
50_500_27.jpg,3.6632517688679243,1.0
80_0_14.jpg,5.518337264150944,1.0
80_1000_3.jpg,4.9338001179245285,1.0
80_200_8.jpg,3.0914652122641506,1.0
80_500_28.jpg,3.71126179245283,1.0
0_0_14.jpg,1.1676591981132074,1.0
0_0_18.jpg,1.1897553066037736,1.0
0_0_20.jpg,1.2345076650943396,1.0
0_1000_11.jpg,5.953567216981132,1.0
0_1000_15.jpg,4.243528891509434,1.0
0_1000_6.jpg,8.141907429245283,1.0
0_200_14.jpg,2.20201945754717,1.0
0_200_17.jpg,2.0677329009433962,1.0
0_200_30.jpg,2.285863797169811,1.0
0_500_16.jpg,3.182974646226415,1.0
0_500_17.jpg,2.9569575471698113,1.0
0_500_27.jpg,3.1451650943396223,1.0
100_0_17.jpg,8.38854658018868,1.0
100_0_20.jpg,7.761114386792452,1.0
100_0_8.jpg,7.371639150943396,1.0
100_1000_13.jpg,4.5122641509433965,1.0
100_1000_2.jpg,8.36022641509434,1.0
100_1000_8.jpg,4.298792452830189,1.0
100_200_4.jpg,9.155630896226414,1.0
100_200_5.jpg,8.248349056603773,1.0
100_200_8.jpg,5.185406839622642,1.0
100_500_12.jpg,4.355704599056604,1.0
100_500_24.jpg,9.079908608490566,1.0
100_500_32.jpg,8.29022700471698,1.0
50_0_12.jpg,2.2389740566037735,1.0
50_0_22.jpg,2.120474646226415,1.0
50_0_29.jpg,2.542497051886792,1.0
50_1000_11.jpg,5.15989091981132,1.0
50_1000_12.jpg,6.584714033018868,1.0
50_1000_9.jpg,5.548776533018868,1.0
50_200_13.jpg,2.549926297169811,1.0
50_200_4.jpg,3.147700471698113,1.0
50_200_5.jpg,3.5371904481132073,1.0
50_500_18.jpg,3.4261645047169806,1.0
50_500_26.jpg,3.5637971698113207,1.0
50_500_9.jpg,3.5718307783018863,1.0
80_0_13.jpg,6.335657429245282,1.0
80_0_16.jpg,4.451798349056603,1.0
80_0_19.jpg,3.420916863207547,1.0
80_1000_16.jpg,4.543646816037736,1.0
80_1000_4.jpg,4.613620283018868,1.0
80_1000_9.jpg,4.849690448113208,1.0
80_200_10.jpg,3.5988060141509433,1.0
80_200_17.jpg,3.2837411556603775,1.0
80_200_9.jpg,3.3849941037735847,1.0
80_500_13.jpg,3.8822818396226415,1.0
80_500_16.jpg,4.054997051886792,1.0
80_500_29.jpg,3.329775943396226,1.0
0_0_19.jpg,1.1431456367924528,1.0
0_1000_9.jpg,5.605114976415094,1.0
0_200_11.jpg,2.230350825471698,1.0
0_500_3.jpg,3.2305424528301887,1.0
50_0_14.jpg,2.498024764150943,1.0
50_1000_10.jpg,5.33119103773585,1.0
50_200_6.jpg,3.6962264150943396,1.0
50_500_7.jpg,3.4836084905660374,1.0
