alloy,aging_hours,mean,std,count
0,0,0.5178178029148471,0.016188330908180504,4
0,200,0.7082374719438775,0.006673763052773711,5
0,500,0.58910926428665,0.024274896638043122,4
0,1000,0.5593019017191034,0.02612221151712155,4
50,0,0.6108772361070203,0.015669671105055533,5
50,200,0.5173869606636445,0.048861669563895226,4
50,500,0.5597291371831473,0.011318499354028125,5
50,1000,0.5369570662410763,0.008147514186570516,4
80,0,0.5372748461011642,0.06310916584276167,4
80,200,0.5773633653072096,0.006771588690771397,4
80,500,0.5804616299563035,0.001267188924683759,4
80,1000,0.5782042863385135,0.00776032474785207,4
100,0,0.3704366775952298,0.015832719034171806,4
100,200,0.3427219729551235,0.06711317815451144,4
100,500,0.41643823869985164,0.018946961280586073,4
100,1000,0.45895692642673974,0.10517629961477372,4
